Song,Nation,Year,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
Centory - Eye In The Sky,Germany,1994,0.06407250700109583,0.6907548134393072,-3.9700918519127333,-18.727450498788116,14.757358646875385,0.03238737367587971,0.9722634281732572,-10.784757613920153,-22.087135882618988,11.302378268698831,0.03613722147814441,0.3271929562952055,-9.78470006258056,-25.646699705361243,15.86199964278068,0.02755083404358943,0.152011782265256,-12.774244562362266,-31.08097771301406,18.30673315065179,143.5546875
Centory - Make A Wish (Close Your Eyes) - Part I,Germany,1994,0.06489166193987521,0.6136205053952231,-3.7982799287438165,-18.78772600811194,14.989446079368125,0.03240896199659671,0.9664963630597556,-10.681674707904714,-22.29301208172107,11.611337373816353,0.03968321043675553,0.30147358854651607,-8.576124230452983,-23.76244284689717,15.186318616444188,0.024667328417470224,0.018744818695751408,-13.88845487393541,-31.364715594012036,17.47626072007663,138.0
Centory - Make A Wish (Close Your Eyes) - Part II,Germany,1994,0.0621258636059728,0.6498853094261334,-4.159154418586199,-18.222415026142848,14.063260607556652,0.03359594383775351,0.9329204127399295,-10.404062359484435,-21.166079504647488,10.762017145163052,0.0395133162469356,0.33024542011501873,-8.395525563850311,-23.075984465136827,14.680458901286514,0.01706791843102296,0.17315917112477094,-18.603185907270404,-36.47915130827729,17.875965401006873,139.67483108108107
Centory - Merry Merry X-Mas,Germany,1994,0.05144555002763959,0.7499067256940294,-7.546468575469649,-23.166940455808867,15.620471880339219,0.02045006449235305,0.8766123482009319,-18.655566463912148,-31.250522582147482,12.594956118235327,0.03915468951538603,0.6712908673975246,-9.990108630593783,-25.032301362485867,15.042192731892081,0.016739450893679748,0.5894826900789223,-19.47744428401974,-37.24211178401836,17.76466749999862,139.67483108108107
Centory - Point Of No Return (Album Version,Germany,1994,0.06106509945750452,0.8814886030587902,-4.237972776512802,-19.533323093939096,15.295350317426294,0.026785262206148283,0.9537539814396588,-11.961363786978467,-23.559177098711704,11.597813311733235,0.039905063291139235,0.8292267621875936,-8.564075531565107,-23.567813063267554,15.003737531702448,0.02638878842676311,0.8104789772645579,-12.67557419960939,-29.779742964987538,17.10416876537815,143.5546875
Centory - Point Of No Return (Mutrone Club Mix),Germany,1994,0.060589026358257136,0.8324745376041405,-4.5292602440567125,-19.202752800300324,14.673492556243607,0.031169176976869287,0.8928877318354173,-10.934843733388295,-22.254937513411345,11.320093780023058,0.03503792361484669,0.7638453639103813,-10.190223842417048,-25.561379921276973,15.371156078859926,0.025842388380849925,0.6616881607443252,-13.065943518353581,-31.115186712131177,18.049243193777595,143.5546875
Centory - Point Of No Return (The 12 Inch),Germany,1994,0.0670003111387679,0.882258361957405,-3.4556693364685405,-18.498172790917163,15.042503454448624,0.03155444928438084,0.9483956172684127,-10.482171924419484,-21.752239545833135,11.270067621413647,0.042534225264467956,0.8221246912702064,-8.047827905039803,-23.204377293643006,15.156549388603201,0.026987554449284384,0.7983254980609524,-12.944991164621369,-30.099786845626447,17.154795681005076,143.5546875
Centory - Point Of No Return (Trime 'N DELgado Remix),Germany,1994,0.04445646381754236,0.7295796632355506,-8.062391556861742,-22.74069831359988,14.678306756738142,0.02455184908877758,0.8536688342636454,-15.118672291755297,-26.405239668964647,11.28656737720935,0.02711526164339764,0.643858063027593,-12.79030181305267,-27.600603141196817,14.810301328144147,0.01580491314078653,0.39588492713735063,-19.769670493795907,-38.68063279327401,18.91096229947811,143.5546875
Centory - Take It To The Limit (Extended Club Mix),Germany,1994,0.07498767732628035,0.826750566697971,-2.355957986430046,-16.507571710595986,14.151613724165944,0.03744409713873527,0.9169494505903009,-9.5998482962057,-20.69536978521771,11.09552148901201,0.04986865833132965,0.7076768145343257,-6.494373912315871,-21.984329357551438,15.489955445235566,0.02548509257032941,0.5626116832258101,-13.847543666853833,-32.22620537117888,18.37866170432504,143.5546875
Centory - Take It To The Limit (No Limit Remix) (Single Size),Germany,1994,0.058363644930267626,0.7955359423499485,-5.03513565426255,-20.87838927846741,15.84325362420486,0.031017244628722206,0.8869682433602694,-11.815632634466738,-24.60462380921721,12.788991174750471,0.03551404070863174,0.6472884020439337,-9.947977991320865,-26.275044392169455,16.327066400848597,0.021689596683000377,0.5689229059378557,-15.309918522816519,-34.522191653153165,19.21227313033665,151.99908088235293
