Song,Nation,Year,BPM,PhSp,ChCo,Peak
Ace The Space - 9 Is A Classic,Germany,1992,135.99917763157896,0.065,0.829458763570706,-3.47329564374292
Ace the Space - Ace goes crazy,Germany,1991,132.0,0.0375,0.900315753608481,-8.485423471867362
Ace The Space - Ace In The Hole (Original Godfather Mix),Germany,1991,123.046875,0.035,0.9059073955992678,-9.24079890063388
Ace the Space - Ace In The Hole (T-Bone's Radical Dub),Germany,1991,123.046875,0.0625,0.93681721092058,-3.894859213002553
Ace The Space - Go Voodoo!,Germany,1993,143.5546875,0.0425,0.8166286659666542,-7.371106412484839
Ace The Space - HomeRave,Germany,1992,139.6748310810811,0.025,0.8746947435611474,-12.51407863632333
Acid Jesus - 7a7,Germany,1994,139.6748310810811,0.045,0.9743184358996442,-6.818655193531441
Acid Jesus - Disappear,Germany,1993,136.0,0.0325,0.9440307637942864,-9.773040967639648
Acid Jesus - Fairchild,Germany,1993,131.0,0.0375,0.8427552161292113,-8.655524671924068
Acid Jesus - Faith In Acid,Germany,1993,127.0,0.045,0.9693120640455614,-6.63365957114992
Acid Jesus - Fear,Germany,1994,132.51201923076923,0.0375,0.9753546514162176,-8.573367670150423
Acid Jesus - H. A. L.,Germany,1993,127.0,0.025,0.7395626995261949,-11.786003843445998
Acid Jesus - Jesus,Germany,1993,130.0,0.0375,0.9919999346666981,-8.747552231956128
Acid Jesus - MF 1,Germany,1993,143.5546875,0.03,0.9058300701427839,-10.752360748310393
Acid Jesus - MF 2,Germany,1993,127.0,0.0525,0.9015838059822642,-5.265231835660331
Acid Jesus - Move My Body,Germany,1993,127.0,0.0425,0.9866313778863757,-7.517713398515243
Acid Jesus - Mulunga,Germany,1993,129.0,0.0425,0.9170898115934528,-7.475898393794837
Acid Jesus - Odyssey,Germany,1993,139.6748310810811,0.0425,0.9930684558673676,-7.345938618214034
Acid Jesus - On The Couch,Germany,1993,106.0,0.0275,0.8100354364719353,-11.406523296751969
Acid Jesus - Razzblaster,Germany,1993,134.0,0.0425,0.8691677254428891,-7.258339730503842
Acid Jesus - Starseed,Germany,1994,118.0,0.0425,0.8167731977333511,-7.367226206631027
Acid Scout - +++ Acid,Germany,1994,132.51201923076923,0.0275,0.3804279089615827,-11.530778194628564
Acid Scout - 4-2°,Germany,1993,156.60511363636363,0.0525,0.9503090410727977,-5.0937148413723925
Acid Scout - 4-6°,Germany,1993,100.0,0.045,0.904359630258522,-6.924035545318923
Acid Scout - Acid Marathon 1,Germany,1994,142.0,0.05,0.9929617575809057,-5.700918755650861
Acid Scout - Acid Marathon 2,Germany,1994,142.0,0.0575,0.9952461277753034,-4.4539450876790845
Acid Scout - Acid Marathon 3,Germany,1994,147.65625,0.035,0.9955908561127,-8.692773211987802
Acid Scout - Acid Marathon 4,Germany,1994,120.0,0.015,0.726942635537242,-16.64837998675296
Acid Scout - Asymtote Des Schlafes,Germany,1994,161.4990234375,0.025,0.92613770691635,-12.100759326800093
Acid Scout - Balance,Germany,1994,153.0,0.0675,0.6303981490174586,-3.1012964131016303
Acid Scout - Clock Seven,Germany,1994,120.0,0.005,0.05533050880627885,-26.070579951508407
Acid Scout - In Front Of Da Outland,Germany,1994,151.99908088235293,0.02,0.301817878261541,-14.534321522640209
Acid Scout - Jing Jang,Germany,1994,143.5546875,0.0425,0.6784137841068262,-7.253607177136134
Acid Scout - Ma' Lady,Germany,1994,143.5546875,0.0325,0.4656830264691721,-9.630781462282611
Acid Scout - Mondonon,Germany,1994,132.51201923076923,0.0475,0.7441561511697421,-5.840877932493286
Acid-Pin-Ups - Betty 101,Germany,1994,128.0,0.035,0.97634209585167,-8.927453216532186
Acid-Pin-Ups - Cathleen 909,Germany,1994,144.0,0.045,0.9661515340222021,-6.5542175416542
Acid-Pin-Ups - Heather 202,Germany,1994,129.0,0.0375,0.970649129013377,-8.483171532112873
Acid-Pin-Ups - Ivonne 808,Germany,1994,130.0,0.0425,0.9474476183787102,-7.426010752380368
Acid-Pin-Ups - Marilyn 404,Germany,1994,136.0,0.0625,0.9839943088983358,-3.7741902592157843
Acrid Abeyance - 303 Delight,Germany,1993,156.60511363636363,0.0425,0.8559176484312202,-7.624229757098394
Acrid Abeyance - 303 In Love,Germany,1993,135.99917763157896,0.0275,0.8003116040399884,-11.690084701544288
Acrid Abeyance - Acid Blubber,Germany,1994,151.99908088235293,0.05,0.9249443542621264,-5.893676842842744
Acrid Abeyance - Crying Bassline,Germany,1993,135.99917763157896,0.0325,0.9480007117256972,-9.926762989941745
Acrid Abeyance - Dynamique Twins (Remix),Germany,1994,125.0,0.0525,0.888139343164289,-5.32870242462488
Acrid Abeyance - Exposure Track (Cybordelics Remix),Germany,1994,151.99908088235293,0.045,0.6595097952807817,-6.538152185886751
Acrid Abeyance - Exposure Track (Original Mix),Germany,1994,143.5546875,0.03,0.7651712156245467,-10.909497294004105
Acrid Abeyance - Exposure Track (Pascal F.E.O.S. Remix),Germany,1994,143.5546875,0.03,0.9569027178011928,-10.135445717479907
Acrid Abeyance - H.A.P.P.Y.,Germany,1994,147.65625,0.035,0.8636770957740662,-9.336040807151283
