Song,Nation,Year,BPM
Age - Imaginary Friend,Germany,1992,143.5546875
Age - Infinity,Germany,1993,151.99908088235293
Age - Lagrange Point L 5,Germany,1994,129.19921875
Age - Lancet,Germany,1994,90.0
Age - Leviathan ,Germany,1993,178.20581896551724
Age - Lichtspruch ,Germany,1994,132.51201923076925
Age - Limbo ,Germany,1992,135.99917763157896
Age - Mindscope,Germany,1992,132.51201923076925
Age - Modulate,Germany,1992,129.19921875
Age - Parallelwelt ,Germany,1994,120.18531976744183
Age - Siege Of Darkness ,Germany,1993,143.5546875
Age - Skydiver (Demo Version) ,Germany,1994,129.19921875
Age - Sleepwalker,Germany,1992,132.51201923076928
Age - Strange Insight ,Germany,1993,195.01768867924525
Age - Subway ,Germany,1992,135.99917763157896
Age - The Inner Fear ,Germany,1993,129.19921875
Age - Third Sphere,Germany,1993,147.65625
Age - Trans-Form,Germany,1994,132.51201923076925
Age - Trope,Germany,1991,135.99917763157896
Age - Trope (Acid Mix),Germany,1994,135.99917763157896
Age - Trope (Take 3),Germany,1994,135.99917763157896
Age - Trope II,Germany,1991,132.51201923076925
Age - Underground ,Germany,1992,143.5546875
Age - Wonderland,Germany,1994,143.5546875
Age - Zeitsprung,Germany,1994,80.0
AIIZ - Twin Mechanism ,Germany,1993,139.67483108108107
Air Liquide - Auroral Belt,Germany,1994,145.0
Air Liquide - Coffeine,Germany,1992,151.9990808823529
Air Liquide - Ek-Stasis,Germany,1994,129.19921875
Air Liquide - If There Was No Gravity,Germany,1994,126.04801829268288
Air Liquide - Imago,Germany,1993,147.65625
Air Liquide - Imago II,Germany,1993,187.92613636363646
Air Liquide - Liquide Men With Liquid Heads,Germany,1992,187.92613636363643
Air Liquide - Mandragora,Germany,1993,178.20581896551724
Air Liquide - Psy 9,Germany,1992,195.01768867924528
Air Liquide - Revelation,Germany,1992,146.0
Air Liquide - Robot Wars (Combat Zone Part I),Germany,1994,123.046875
Air Liquide - Robot Wars (Combat Zone Part II),Germany,1994,107.666015625
Air Liquide - Sonority Canon,Germany,1994,129.19921875
Air Liquide - Space Brothers,Germany,1994,120.1853197674418
Air Liquide - Stratus Static,Germany,1994,104.0
Air Liquide - Sun Progress,Germany,1992,135.99917763157896
Air Liquide - Synsonic,Germany,1994,132.51201923076925
Air Liquide - Tanz Der Lemminge 2,Germany,1992,105.46875
Air Liquide - The Increased Difficulty Of Concentration,Germany,1994,120.18531976744181
Air Liquide - THX Is On,Germany,1994,120.18531976744183
Air Liquide - Twice Zero Is Zero,Germany,1994,143.5546875
Air Liquide - Unser Elektronischer Mikrokosmos,Germany,1992,103.359375
Al-Faris - A Trip To Basra,Germany,1994,159.01442307692304
Al-Faris - Dschesiret El-Arab ,Germany,1994,161.4990234375
Al-Faris - Samawa Roots,Germany,1994,161.4990234375
Alcatraz - Bastardo,Germany,1994,109.95678191489357
Alcatraz - Orbital,Germany,1994,195.01768867924525
Alcatraz - Orbital II,Germany,1994,161.4990234375
Alcatraz - Orbital III,Germany,1994,161.4990234375
Alcatraz - Orbital IV,Germany,1994,103.359375
Alcatraz - Taurus,Germany,1994,166.70866935483872
Alien Christ - Interracial,Germany,1991,132.51201923076925
Alien Christ - Of Suns And Moons,Germany,1991,129.19921875
Alien Christ - Of Suns And Moons (Phase 4),Germany,1992,141.58818493150687
Alien Christ - Of Suns And Moons (Phase II),Germany,1991,101.33272058823525
Alien Christ - Of Suns And Moons (Phase III),Germany,1992,129.19921875
Alien Christ - Of Suns And Moons (Phase5),Germany,1993,135.99917763157896
Alien Christ - The Art Of Shredding,Germany,1992,129.19921875
Alien Christ - The Eagle Has Landed,Germany,1993,132.51201923076925
Alien Christ - The Frequencies Of Fear,Germany,1993,178.2058189655172
Alien Factory - All Night Until Day Light,Germany,1993,161.4990234375
Alien Factory - Alpha Music,Germany,1993,166.70866935483875
Alien Factory - Beta Music (Hanover Rmx),Germany,1993,109.95678191489357
Alien Factory - Beta Music (Lo Budget Rmx),Germany,1993,120.18531976744181
Alien Factory - Beta Music (UCT Rmx),Germany,1993,109.95678191489358
Alien Factory - Big Brother (Heavy Mix),Germany,1993,139.6748310810811
Alien Factory - Big Brother (Trance Mix),Germany,1993,161.4990234375
Alien Factory - Delta Music,Germany,1993,164.0625
Alien Factory - Destiny,Germany,1994,169.44159836065575
Alien Factory - Destiny (Break-It-Mix),Germany,1994,169.44159836065575
Alien Factory - Gamma Music,Germany,1993,166.70866935483878
Alien Factory - Muggovey,Germany,1993,154.267723880597
Alien Factory - Tell Death You Don't Wanna Die!,Germany,1993,149.7961956521739
Alien Factory - This Is Not A Daydream,Germany,1994,109.95678191489358
Alien Factory - Tomorrow,Germany,1994,112.3471467391305
Alien Factory - Tomorrow (Remix),Germany,1994,109.95678191489357
Alien Factory - Tranquility,Germany,1993,120.18531976744184
Alien Nation - House In The Desert (Sheik It Up Mix),Germany,1989,120.18531976744183
Alien Nation - Lovers Of The World (Regenerated),Germany,1991,120.18531976744181
Alien Nation - Lovers Of The World (Tranceformed II),Germany,1991,120.18531976744181
All in Vain - Trance Music Was Born (Extended Version),Germany,1993,139.67483108108107
