Song,Nation,Year,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
Reese & Santonio - The sound,USA,1987,0.021986038339134394,0.05456747254071443,6.229896608292554,11.2151877089897,9.389791300807511,0.019576755431236863,0.0027196560637000274,6.796385115064911,11.530626720908403,9.030836339671344,0.016651099103957543,0.2525970374784124,8.548934417549944,12.894241113817433,10.593944543117818,0.01596040978265435,0.16797948954242256,15.408338538136283,18.286627739123777,10.736316265956614
Reese & Santonio - The sound (Mayday extended re-mix),USA,1988,0.01490897088309831,0.14114167913779144,3.6074023236801196,10.562098589269825,9.50568613584955,0.0157975183834614,0.11747346748865573,7.841606595415487,12.366732279237004,8.975242577371295,0.01300188572794789,0.3091677855874248,6.96972890310348,12.210501531215316,10.496547135577956,0.006492848170335439,0.16199459605590474,9.105539735046248,14.401116061964672,10.038113113101094
Reese & Santonio - Truth of self evidence,USA,1988,0.01800323134768785,0.13516576223299465,3.9829083699703185,10.81219633482214,9.628137491110445,0.01588527730175311,0.2591947171495984,7.9198461540110054,12.168514633812263,9.236118867126605,0.01181953554215294,0.16782315313682164,6.2036105160976724,11.875428063245211,10.090958778848899,0.008291385777219292,0.06521675805275694,4.536559147309718,10.550407311162454,9.76730588240802
Reese & Santonio - Truth of self evidence (Extended mix),USA,1988,0.016309390444834888,0.15745825323885002,4.262626617417804,10.530926450391865,9.49475567606089,0.01247077313774016,0.2058587734759557,7.57678154214051,11.988956202421607,9.222196514272076,0.010098582668959181,0.15396400719098735,6.09793965764239,11.738859733420025,10.146195303846202,0.00640380363023526,0.06297629842054489,4.555101138229221,10.845914638950855,9.948070456080524
Reese & Santonio - The Sound (Smoothe Mix),USA,1987,0.025156662240495533,0.29884480921932316,6.538501417083647,12.36027924568054,10.195790569259561,0.019838438672924688,0.285654938198587,7.728684054907556,12.479767365004733,9.54684599263456,0.031818735458565235,0.41747593840834696,9.018662623847332,12.99600471160821,10.309503391641572,0.015914220259433447,0.47436484891795355,11.940281651022952,16.876519282295494,11.68232793650749
Reese - Funky funk funk,USA,1991,0.01784023331104172,0.04286964151155092,4.042581227401346,10.536956486167128,9.705235213026967,0.013571607764463227,0.12314306653441796,6.248648119835397,11.133450683438038,9.390569229756853,0.01255598905272478,0.018651226350927672,4.710231814455053,10.792805365046378,9.809243742188407,0.014697506231555604,0.02204336740463659,5.6776465519522095,11.069102790026287,9.81938375568293
Reese - Funky funk funk (Extended mix),USA,1991,0.01579861674112709,0.03461804728311628,3.345066747028076,10.006259073677143,9.464469470784318,0.012527997428196038,0.09443215851208206,5.266700427470232,10.536728527057447,9.197646716974994,0.012179658797036719,0.016323294061500952,4.2922631252343635,10.719478278360759,9.887582077716708,0.01371758869061217,0.022863334202449227,5.435865312948423,11.197100487608092,10.1264881271424
Reese - Just want another chance,USA,1988,0.012256668887031056,0.09795509424074013,3.0065666308277588,9.744944925467031,9.207685674371662,0.011595770164522196,0.0957974650403451,3.1901207347150766,9.713329918559255,9.207686837694228,0.005853457206900117,0.17170059453207245,4.894217328670131,10.178444121386299,9.562114935632923,0.005806013875238222,0.11820563223024583,14.115573770633251,16.619119395839753,10.534702338960708
Reese - Just want another chance (Extended mix),USA,1988,0.01721660381995874,0.15286447510352189,4.489968122850468,11.144041917304033,9.976071384914329,0.015988016257750006,0.4487703585074418,8.070763357521706,12.381130553340432,9.347417601833726,0.010228820166570491,0.16342312616440755,5.706789430825616,10.889039805550539,10.07617927512382,0.010529962425783251,0.14825386692682105,6.682337145547411,11.931631936501653,10.157993037237569
Reese - Just want another chance (Original mix),USA,1988,0.018255879941347863,0.13715217586366177,4.225215316196639,10.611061566294843,9.768427089031736,0.01694321148739333,0.14902711538836377,5.169354760761531,10.804541233272738,9.448454902468253,0.009188136491871385,0.17719647838664904,5.478110938538176,10.964406219151705,10.172270094157634,0.013510245123446667,0.11105325321027082,8.844021541674573,13.681377284844183,10.908384870637123
