Song,Nation,Year,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
DJ EFX - Feelin' Kinda Lovely (Feelin' Kinda Wet Mix),USA,1994,0.03,0.9195766791356881,-10.871867091962176,-23.218722080471053,11.688300324493682,0.0175,0.9595494967926224,-15.194359458255594,-25.051102405148836,8.338567836459172,0.0175,0.9003209257921401,-15.763188485463997,-31.042959461828662,14.336953268349564,0.0075,0.7059886211991337,-25.315921308490708,-46.59137893785343,18.189364539469153,135.99917763157896
DJ EFX - Groove To Me,USA,1993,0.0525,0.9644455092941095,-5.08683550827946,-19.383081996765508,12.882664307819743,0.0275,0.9895704613584706,-11.417072887749987,-22.933192552594818,8.633640656586303,0.0225,0.9443095744027816,-12.964575747763114,-28.0139023443489,14.197743218413496,0.0225,0.915215220871025,-13.064753392823842,-32.42884935168898,17.853947905631486,129.19921875
"DJ EFX - I Feel Da Magik (Bon, Pon, Pon!) (Tranz Tribalistik Mix)",USA,1993,0.0325,0.9999963437379502,-10.060882449673178,-23.77387225734769,12.868424444313048,0.0175,0.9999999999535784,-16.31976463958433,-26.265971759024435,9.247920912987864,0.015,0.9999999372571832,-17.820324181554295,-31.431902100966337,13.313142616615018,0.01,0.9999671748916682,-20.334535831619576,-39.98283549407921,19.19938742247941,129.19921875
"DJ EFX - I Feel Da Magik (Bon, Pon, Pon!) - (Tribal Groovedubb)",USA,1993,0.0275,0.8891976662555963,-11.25482187563838,-24.309875497603727,12.407793585916608,0.0175,0.9161203140362676,-16.31876155209032,-26.21016541745451,9.442425191679972,0.015,0.8865679625682009,-17.46087863158014,-30.4956274043214,12.766603236250784,0.0075,0.7042171907256133,-25.0753535391091,-44.40265714291377,18.410101482034847,126.04801829268293
DJ EFX - Jungle Riot (Tribal Toms),USA,1994,0.035,0.9331141092572102,-9.448885047940047,-23.817093627512165,13.207934784788156,0.02,0.9935433223100512,-14.72518801250873,-25.13579448790264,9.147107430565098,0.0175,0.8175407673628589,-15.409874977310816,-31.426352917715008,14.822476868621012,0.01,0.7387389671276554,-22.73863141543023,-42.6007575903691,18.704760576627493,129.19921875
DJ EFX - Jungle Riot (Vocal Rhythms),USA,1994,0.03,0.9511665746688706,-9.828603248804166,-23.03596047862277,12.277136753092313,0.0175,0.9938091856363788,-15.73860185361547,-25.15211087883263,8.307315647976367,0.015,0.8986159747852362,-17.20885348928283,-32.567071296413246,14.755500997108475,0.0125,0.6827214275025992,-19.179618563862533,-38.72091306168789,17.87490151335247,123.046875
DJ EFX - Sah-Boo-Tay!,USA,1994,0.045,0.9156594959860376,-6.563219947249946,-19.939400441222688,12.399678432463944,0.015,0.981356317329972,-16.873272463077207,-28.322412232183723,9.979848482183977,0.0325,0.9163971404717676,-10.029069576312558,-23.415601252471543,12.650998015286683,0.015,0.6808386259312526,-18.578168239697906,-36.96039167837573,16.56455125145297,126.04801829268293
DJ EFX - Summer Places,USA,1993,0.0325,0.9607543730225034,-9.679248296919573,-23.37037924578448,13.31022999081956,0.015,0.9913212525844046,-16.73906083269633,-27.66055597388324,10.40232307995732,0.02,0.9649021277234204,-15.044647869587656,-27.93728416757734,12.90622726772495,0.0125,0.7946437978032105,-19.22069318427121,-36.5221031218645,17.183718709887287,105.46875
DJ EFX - Two Years Ago,USA,1993,0.0425,0.6393445270780176,-7.682239085212872,-20.386291290464946,12.306629061044422,0.015,0.9803650781186941,-17.351860521882124,-27.0186270906653,8.6702704517981,0.0275,0.4403295894231929,-11.04894789388187,-23.72055594656981,12.47051328754658,0.015,0.5138121635638853,-17.553176268872676,-36.222955186117844,16.409270229551943,123.046875
DJ EFX And Mind Motion Crew - Just Freakin',USA,1988,0.0425,0.9557049671935064,-7.483139497562491,-21.456268183549724,12.989732390875462,0.02,0.9836473468292553,-14.754028922888716,-24.329142222725203,8.265339498026435,0.0175,0.9760517782191002,-15.691205340819934,-31.94792694489789,14.944131746000394,0.02,0.8595205410300765,-14.99327007495634,-34.65989410809472,18.38079868912635,132.51201923076923
DJ EFX – Disco Dancin' (Intro Mix),USA,1994,0.04,0.9594276217621316,-7.722734377429119,-21.57050262767365,12.233322130209483,0.0175,0.9804370096358108,-15.656160435151962,-25.568302911209045,8.761521980315479,0.025,0.956470677648436,-12.552578728373422,-26.308452150141648,13.049170311218742,0.015,0.7504192085943152,-18.19684789963724,-39.92162481632763,19.00137714957318,129.19921875
DJ Pierre - Atom Bomb (Atomic Wild Pitch Mix),USA,1993,0.0375,0.8781563583681011,-8.246956145321075,-23.24221679296826,13.875196527901245,0.0175,0.9287761491258576,-15.141355032371514,-27.38268701717159,9.592496046528705,0.02,0.8700633884658662,-14.076734691195295,-29.622213728345933,14.197911481007628,0.0175,0.6848748965709874,-16.463183572683782,-35.345818371825466,17.361464889148262,123.046875
DJ Pierre - Atom Bomb (Doomsday Mix),USA,1993,0.03,0.92777496174343,-10.249869177468089,-25.542792120287665,13.836396610662009,0.015,0.9848103605845148,-18.03266084868294,-30.1046557286822,9.583263788548546,0.0175,0.9296640910983852,-15.430552684051598,-30.735699086453504,14.004625826907542,0.0125,0.6523930053146804,-19.147708724710935,-38.58116266015659,17.931543012929474,123.046875
