Song,Nation,Year,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
WestBam &  The Very Kenny - Music,Germany,1988,-0.16534384684088382,-2.653590392128783,-1.275829414308128,-1.1315298521949526,1.452413808647121,0.3538131098023954,-1.9199413529598819,-0.9363374128613666,-0.980213913789369,1.487784208194008,0.0652849922028378,-2.664699978612002,-1.2182529298181155,-1.1761146419504311,1.5679086350653424,1.7229446108805477,-0.6754494989619502,0.20158218670601397,-0.8723315637248954,1.3143646404443565
WestBam - ... And Party,Germany,1989,-0.057675071531188886,-0.7195456958747963,-4.099508671617472,-1.593150870709905,1.4642842528843965,1.3719267120282579,-6.178722064294428,-2.38484870973369,-1.3012692185608774,1.376011756965555,0.39423164930371113,-2.3440698402759277,-3.775136721162608,-1.602206258534411,1.4093080292927482,0.5515368809760135,0.19245063207884358,-2.3950470068591545,-1.1462079301961596,1.1663322532851295
WestBam - A Long Hard Dick,Germany,1988,0.2543467546412023,-2.0958525078379187,-1.7282638749726642,-1.3897076538072528,1.6824373961984918,0.8936213479358048,-0.9116792493449419,-1.1983337678566361,-0.9595912390218859,1.5164494337556766,0.33396107205587805,-1.5815918408438596,-2.4100498360987643,-1.2520943742227348,1.3798595791789372,0.7139447007168821,-1.097453148220071,-1.6508358080065708,-1.0418013450403218,1.2016393606749984
WestBam - Acid Snail Invasion,Germany,1991,0.025454523146767785,-6.05390112718773,-2.1894371470467844,-1.2829752465275113,1.516649538013414,1.0469690328770729,-13.74927837164501,-1.2455814595692196,-1.0732117103048977,1.5430122803596098,0.6414659804626606,-5.7719224149276895,-1.7539127695890484,-1.1647032308730685,1.4150652918247604,0.4813561711445982,-1.4379864316559032,-1.6888460493481066,-0.9614601828709433,1.1446594987449412
WestBam - After hours,Germany,1994,0.9803153834813374,-1.2166293119216438,0.011693099968159273,-0.9232728727954089,1.42481910742403,1.26634988353339,-1.587135540529523,-0.42551410558631086,-0.5036442876922149,1.5155081875300602,1.5916798417529365,-1.236589666905014,0.13756151291920643,-1.2020535736536266,1.4316688222747673,1.0745122789859252,-0.41166696057980506,-0.5955872453791954,-1.1151003520457001,1.3742444518350954
WestBam - Alarm clock,Germany,1991,1.237332908152327,-0.2742518126722989,-8.66333749488015,-2.8626430616966205,1.7888575561706435,2.775540374251704,-1.8086022210742507,-2.5749865636512963,-1.7969267278138525,1.6731400603323663,1.7175391070572779,0.0047824417266557175,-8.320177776820953,-2.78677092809138,1.6752027082344725,1.2108818050157912,-0.6998503609620406,-6.706696844390036,-2.189593096631685,1.493173651035538
Westbam - Bam bam bam,Germany,1994,0.17409662030327153,-1.6177833330922406,-0.6526652063577614,-1.192622744392898,1.5670302936495526,0.25303696332018794,-1.7883127335551345,-1.3147698771180267,-1.2253162922696332,1.8669487361225372,1.2124362323523654,-0.8508172041599692,-0.3081129240543526,-0.966440640177858,1.2249528064204616,0.6514413052979438,-0.5743969423670693,-0.7225968132271405,-1.1811639385154102,1.3495275995026668
WestBam - Bam bam bam (Album version),Germany,1994,0.08572317525793903,-0.871311037461518,-2.4449105726117257,-1.0597377770224596,1.3887799626798598,0.9840737335696673,-1.520334699594292,-1.6968513129034144,-1.0345652389503062,1.6178443605043378,1.470842248593462,-1.0330712507605395,-2.1823363206551307,-1.1521615014436501,1.3475105330850956,0.5036839398723411,-0.9060307377933045,-2.129589032911696,-1.1959324748201965,1.2306547844273612
WestBam - Bam Bam Bam (Club Mix),Germany,1994,0.14150194350330517,-1.776881691276112,-0.8325395026035116,-1.1163410843375794,1.5238260085376882,0.2630178954016172,-1.7389761615039612,-1.1303779466343526,-0.9800314371235815,1.6776665168345248,1.1810310253085534,-0.9331692956817006,-0.5103017656038387,-0.8721511676794425,1.2369798117140276,0.6687484675294963,-0.5076595616048103,-1.4346795293720578,-1.13516168440829,1.4033416460848829
WestBam - Bam Bam Bam (Resistance D remix),Germany,1994,0.7334557376822578,-1.933527394948399,-0.739676579476624,-1.03276808365358,1.5155258798651776,1.5228868569386267,-2.472796685834554,-1.101656372251675,-0.9892238279045011,1.5851173803976375,1.179802687990347,-1.609116285220042,-0.26809613914769476,-1.0837475630643278,1.4177428737501423,0.21053539774765104,-1.2070337890918421,-1.2168198800135237,-1.0815317298364557,1.3313488547375745
WestBam - Bostich,Germany,1994,0.14891116173089597,-2.1508777604738762,-3.012509473527757,-1.188583865842845,1.4470206475345988,0.983278513527049,-4.023978594863126,-2.229638952646638,-1.1652549694199683,1.585384347390145,0.8466539835039683,-2.3096676047573603,-2.282818358194812,-1.1736255431530482,1.402366665469787,0.7230020394195152,-0.7045799339237059,-2.1884737338917652,-0.9789711850214823,1.1420616327972541
WestBam - Bring That Beat Back,Germany,1989,0.48277603227107524,-1.8754789819555684,-0.6399050004537743,-1.3667919095174084,1.6938554153864491,1.6459334570084088,-1.8689406526504728,-0.10063784476050618,-0.6370489989027416,1.4990785299953409,1.0671551609897307,-1.979787772748729,-0.42955873705136627,-1.0389211721556733,1.3387971846759101,0.5354477035712994,-1.5826859939665636,-1.389828966939001,-0.8689227069352992,1.174399678364883
WestBam - Celebration,Germany,1991,-0.4097441680936839,-3.8152838922296137,-2.4538724239570695,-1.1025712670820744,1.4086267528876661,0.7461663449408212,-7.234458886235499,-1.7441543860075368,-1.1933689312813478,1.705928191136814,0.14900847862515854,-1.0666688402053943,-2.140941894863365,-1.173835733750902,1.415175758090188,0.618098617062535,-0.0671803313139523,-1.892086275874335,-1.1631537367910798,1.3424804886299362
WestBam - Celebration Generation,Germany,1994,-0.752483180785656,-1.5297624445487594,-2.65740732115931,-1.4233467569366571,1.6212032167378008,0.6590098487195798,-2.2079841735579273,-1.4728970747938732,-1.1653139278209208,1.7153732484175734,0.7185612337585867,-0.720761900063188,-1.464587301220523,-1.194641706365762,1.4708836603019415,0.18857783318953725,-0.23363938057874362,-1.985714064196278,-1.3556302283380266,1.3884893701848435
WestBam - Celebration Generation (Natural),Germany,1993,1.0978273607124667,-1.453357464345919,-0.14230163484501293,-0.9683886262772989,1.7360766415645998,0.8343106509250089,-2.0427224317743686,-0.3169738417526309,-0.7178251282649385,1.660099138240083,1.8902927161394083,-1.5974704324835662,0.3161505668481946,-0.8622036472959376,1.2317707730158278,0.9548165603710291,-0.6661522124942184,-0.2890703809132681,-0.7027993733956706,0.9817678599196661
Westbam - Celebration Generation (Natural),Germany,1994,0.9691298865284884,-1.2399468558487865,-0.2200732715599442,-0.7489047569127315,1.4379693434076175,0.8669057433493427,-1.9045602274674605,-0.3097489463540063,-0.7129721382836788,1.827577116535037,1.7792341021607367,-1.7422880264306677,0.26913102474084655,-0.8944196070326496,1.40699474543027,0.9288400439925516,-0.3038200994581561,-0.1720368619140189,-0.6646741706472562,1.0648778711172746
WestBam - Celebration Generation (Non Verbal),Germany,1993,1.0535573557066469,-2.896578364483236,-1.5240760085427234,-1.1503565795114816,1.688482440216114,1.2441143081962223,-1.9952342116617054,-0.4751681752414857,-0.4938805361122988,1.5831066458286145,1.5075559384007948,-2.6975831818696046,-1.7059401945213353,-1.1818208875456033,1.4612579625998827,0.6361071584110205,-2.7910708857226636,-2.1071248669821654,-1.0290492622426404,1.1139836079866545
WestBam - Celebration Generation (Raver's Nature remix),Germany,1993,0.49054276930675245,-0.4249777430683389,-0.2876892426259402,-1.0071011995368948,1.3306916495438317,0.9949590707428498,-0.5331354549480549,-0.5836818823651415,-0.526545063332755,1.5362329445485738,1.6142587157030455,-0.4902750019570271,0.47134251356167356,-1.3520360425461893,1.550208962348304,0.3734528179614795,-0.42431599050089946,-0.4184917743426227,-1.2152790069367985,1.4961222167598844
Westbam - Celebration Generation (RMB Remix),Germany,1993,-0.6085498975986726,-1.1763300914682027,-1.4423572393099253,-1.4927280795089721,1.6839376897906562,-0.2157550398859254,-2.1542299955131945,-2.2395382720917154,-1.5539705239276145,1.796829395056754,0.9079323369422138,-0.373748057500312,-0.03691306440966705,-1.2618043500404867,1.4891846523819106,0.07707249087459758,0.37456777412195513,-1.047255816154667,-1.038618900191228,1.3119189533588311
WestBam - Club Canossa,Germany,1994,-0.7391279402386218,-1.0912666750541262,-2.4819545410514436,-1.5080550329752993,1.6538675181925777,0.6190254248181047,-3.092350304226323,-1.273733339722236,-0.983073389576421,1.7746252718972737,0.27490084559195005,-1.3160244949792141,-4.370558688893003,-1.5537530886899868,1.4834773380791542,0.2637209884413216,-0.3980498634871484,-1.264166288666561,-1.120452088628146,1.3165984670821538
WestBam - Cold Stomper,Germany,1989,-0.12080930154081483,-1.0636470422136353,-3.2724902521140105,-1.371645197989703,1.344521932648201,0.7830893505359641,-1.1538147398459524,-2.5000154998865582,-1.118794757430981,1.1987600223335753,0.2602011082642128,-1.0869743747779352,-3.257412655063155,-1.199686091517942,1.0565225475965483,0.024770417095612146,-0.6535084709912115,-2.69934841467041,-1.070801418964116,1.149124226766131
WestBam - Cold Train,Germany,1989,-0.23517308747661153,-1.5273568451095154,-0.9586281787110308,-1.0220443008702964,1.217526823305949,0.38792093768572694,-3.615486455262829,-1.304334695040207,-1.183924671211727,1.7109385510971575,0.49352069075507793,-1.5684552517265309,-0.8163959758424285,-1.2341951926663812,1.4042857361898171,0.3024446296256084,0.0610337043611601,-0.7500458244792321,-0.970237923026524,1.1814558016266956
